ID,Area,Role,User Story,Expected Behaviour,Status,Test Result,Notes
AUTH-01,Auth,All,As a user I can log in with valid credentials,POST /api/auth/login returns token+user and sets qstoken cookie,Verified,PASS,
AUTH-02,Auth,All,As a user I am rejected with wrong password,Login returns 401 with error message,Verified,PASS,
AUTH-03,Auth,All,As a blocked user I cannot log in,Login returns 403 when status<>active,Verified,PASS,
AUTH-04,Auth,All,As a user I can fetch my profile,GET /api/auth/me returns current user when authenticated,Verified,PASS,
AUTH-05,Auth,All,As a user I can log out,POST /api/auth/logout clears cookie,Verified,PASS,
AUTH-06,Auth,All,Unauthenticated API calls are rejected,Protected endpoints return 401 without token,Verified,PASS,
USER-01,Users,ADMIN,As admin I can list all users,GET /api/users returns all users (no hashes),Verified,PASS,
USER-02,Users,ADMIN,As admin I can create a user,POST /api/users creates user with role/login/password,Verified,PASS,
USER-03,Users,ADMIN,As admin I cannot create a duplicate login,POST /api/users returns 409 on existing login,Verified,PASS,
USER-04,Users,ADMIN,As admin I can edit a user / change password / block,PUT /api/users/:id updates fields,Verified,PASS,
USER-05,Users,ADMIN,As admin I can list users by role,GET /api/users/by-role/:role returns active users of role,Verified,PASS,
USER-06,Users,non-admin,Non-admin cannot manage users,Users routes return 403 for BRE/SE,Verified,PASS,
SKU-01,SKU,All,As any user I can view the active SKU catalog,GET /api/skus returns active SKUs,Verified,PASS,
SKU-02,SKU,ADMIN,As admin I can view all SKUs incl disabled,GET /api/skus?all=1 returns all,Verified,PASS,
SKU-03,SKU,ADMIN,As admin I can create a SKU,POST /api/skus creates SKU and seeds price history,Verified,PASS,
SKU-04,SKU,ADMIN,As admin I cannot create duplicate article,POST /api/skus returns 409 on existing article,Verified,PASS,
SKU-05,SKU,ADMIN,As admin I can edit a SKU,PUT /api/skus/:id updates fields,Verified,PASS,
SKU-06,SKU,ADMIN,Changing price records price history,Price change inserts price_history row with user+comment,Verified,PASS,
SKU-07,SKU,ADMIN,As admin I can enable/disable a SKU,POST /api/skus/:id/toggle flips active,Verified,PASS,
SKU-08,SKU,ADMIN,As admin I can view price history,GET /api/skus/:id/price-history returns history,Verified,PASS,
SKU-09,SKU,non-admin,Non-admin cannot modify SKUs,SKU write routes return 403 for BRE/SE,Verified,PASS,
PNT-01,Points,ADMIN,As admin I can create a point,POST /api/points creates point with bre/max_se/sale_mode,Verified,PASS,
PNT-02,Points,ADMIN,As admin I can edit a point,PUT /api/points/:id updates fields,Verified,PASS,
PNT-03,Points,ADMIN/BRE,As admin/BRE I can list visible points with live summary,GET /api/points returns points scoped by role with stats,Verified,PASS,
PNT-04,Points,BRE,BRE sees only own points,visiblePointIds filters by bre_id,Verified,PASS,
PNT-05,Points,SE,SE can see assignable points to connect,GET /api/points lists active points for SE,Verified,PASS,
PNT-06,Points,SE,As SE I can connect to a point,POST /api/points/:id/connect connects within max_se,Verified,PASS,
PNT-07,Points,SE,SE connection respects max_se limit,Connect returns 409 with exact overflow message when full,Verified,PASS,
PNT-08,Points,SE,SE can only be on one point at a time,Connecting removes prior connection,Verified,PASS,
PNT-09,Points,SE,As SE I can disconnect,POST /api/points/:id/disconnect removes connection,Verified,PASS,
PNT-10,Points,non-admin,Non-admin cannot create/edit points,Point write routes return 403,Verified,PASS,
SHF-01,Shifts,SE,As SE I can open a shift with manual opening,POST /api/shifts/open sets opening per SKU,Verified,PASS,
SHF-02,Shifts,SE,As SE I can open with carryover,Carryover copies previous closed shift closing stock to opening,Verified,PASS,
SHF-03,Shifts,SE,Cannot open a second shift on same point,Open returns 409 when an open shift exists,Verified,PASS,
SHF-04,Shifts,SE,As SE I can set morning opening per SKU,POST /api/shifts/:id/opening updates opening,Verified,PASS,
SHF-05,Shifts,SE,As SE I can record a sale,op type sale increments sales_qty and logs sale at price,Verified,PASS,
SHF-06,Shifts,SE,As SE I can record income,op type income increments income,Verified,PASS,
SHF-07,Shifts,SE,As SE I can record writeoff,op type writeoff increments writeoff,Verified,PASS,
SHF-08,Shifts,SE,As SE I can adjust current stock,op type adjustment sets current to target via delta,Verified,PASS,
SHF-09,Shifts,SE,Current stock auto-calculated,current = opening + income - sales - writeoff,Verified,PASS,
SHF-10,Shifts,SE,As SE I can close a shift with summary,POST /api/shifts/:id/close closes and returns totals,Verified,PASS,
SHF-11,Shifts,SE,Closed shift cannot be edited,ops on closed shift return 400,Verified,PASS,
SHF-12,Shifts,SE,Cannot close while inventory required,close returns 409 when needs_inventory,Verified,PASS,
SHF-13,Shifts,ADMIN,As admin I can force-close a shift,POST /api/shifts/:id/force-close closes ignoring inventory,Verified,PASS,
SHF-14,Shifts,ADMIN,As admin I can reopen a closed shift,POST /api/shifts/:id/reopen reopens,Verified,PASS,
SHF-15,Shifts,ADMIN,Reopen blocked if another open shift exists,reopen returns 409 on conflict,Verified,PASS,
SHF-16,Shifts,BRE,BRE cannot edit shift data,ops/close return 403 for BRE,Verified,PASS,
SHF-17,Shifts,All,As a user I can view a shift detail with totals,GET /api/shifts/:id returns lines+totals scoped by access,Verified,PASS,
SHF-18,Shifts,All,As a user I can list shifts scoped by role,GET /api/shifts filters by role visibility,Verified,PASS,
INV-01,Inventory,BRE/ADMIN,As BRE/admin I can assign inventory to a point,POST /api/inventory/assign/:pointId sets needs_inventory+status,Verified,PASS,
INV-02,Inventory,SE,As SE I can perform inventory,POST /api/inventory/perform sets new opening and clears flags,Verified,PASS,
INV-03,Inventory,SE,Inventory records old/new values,inventory_items store old_qty/new_qty per SKU,Verified,PASS,
INV-04,Inventory,All,As a user I can view inventory history of a point,GET /api/inventory/point/:id returns inventories+items,Verified,PASS,
INV-05,Inventory,ADMIN,As admin I can create inventory schedules,POST /api/inventory/schedules creates schedule(s),Verified,PASS,
INV-06,Inventory,ADMIN,As admin I can list/delete schedules,GET/DELETE /api/inventory/schedules,Verified,PASS,
INV-07,Inventory,System,Scheduled inventory auto-triggers,scheduler sets needs_inventory when next_run due,Verified,PASS,
ANL-01,Analytics,ADMIN/BRE,As admin/BRE I see dashboard widgets,GET /api/analytics/dashboard returns shift/sales/stock widgets,Verified,PASS,
ANL-02,Analytics,ADMIN/BRE,Dashboard shows low-stock block,low_stock list of SKUs at/below min,Verified,PASS,
ANL-03,Analytics,ADMIN/BRE,Dashboard shows unclosed-shift block,unclosed_shifts list of overdue open shifts,Verified,PASS,
ANL-04,Analytics,ADMIN/BRE,Dashboard per-point table,table with sales/stock/se per point,Verified,PASS,
ANL-05,Analytics,ADMIN/BRE,Dashboard charts,charts sales_by_day/sku stock_by_sku ranking,Verified,PASS,
ANL-06,Analytics,ADMIN/BRE,KPI for SE,GET /api/analytics/kpi/se/:id returns SE KPIs,Verified,PASS,
ANL-07,Analytics,ADMIN/BRE,KPI for BRE,GET /api/analytics/kpi/bre/:id returns BRE KPIs,Verified,PASS,
ANL-08,Analytics,ADMIN/BRE,Export report to Excel/CSV,GET /api/analytics/export.csv returns BOM CSV,Verified,PASS,
ANL-09,Analytics,Filters,Dashboard supports date/bre/point/se filters,Query params filter aggregates,Verified,PASS,
MOV-01,Movements,All,As a user I can view SKU movement history scoped by role,GET /api/movements returns movements within visible points,Verified,PASS,
AUD-01,Audit,ADMIN,As admin I can view the action log,GET /api/audit returns audit entries,Verified,PASS,
AUD-02,Audit,All,Key actions are audited,login/shift/op/price/etc create audit rows,Verified,PASS,
NTF-01,Notifications,All,As a user I can view my notifications,GET /api/notifications returns my notifications,Verified,PASS,
NTF-02,Notifications,All,As a user I can mark notifications read,POST /api/notifications/read marks read,Verified,PASS,
NTF-03,Notifications,BRE,Low-stock notifies BRE+admin,sale crossing min_stock notifies bre and admins,Verified,PASS,
NTF-04,Notifications,SE/BRE,Overdue shift notifies,scheduler notifies on unclosed shift past end time,Verified,PASS,
RT-01,Realtime,All,Live stock/sale updates without reload,socket emits stock:update/sale:new to point room,Verified,PASS,BUG-2 fixed: realtime refresh during re-render crashed on document-scoped null query; scoped lookups to view container
RT-02,Realtime,ADMIN/BRE,Live point/shift updates on monitor,socket emits to monitor room,Verified,PASS,
RT-03,Realtime,All,Socket auth required,socket handshake rejects without valid token,Verified,PASS,
UX-01,UX,All,Login screen renders and submits on Enter,Enter key triggers login,Verified,PASS,
UX-02,UX,SE,SE point selection + open shift flow,My point view shows connect then shift board,Verified,PASS,BUG-1 fixed: shift detail route was reset to default by nav guard (board unreachable); added DETAIL_ROUTES allowlist
UX-03,UX,SE,Live SKU cards with quick actions,sku cards show current+ops and update live,Verified,PASS,
UX-04,UX,All,Currency shown in Uzbek sum,money() renders сўм,Verified,PASS,
UX-05,UX,SE,SE sees all SKU as a table (утром/приход/продано/списание/вечером/сумма),Shift view renders shift-table with per-SKU columns and totals,Verified,PASS,Redesigned from cards to table per user request
UX-06,UX,SE,After closing a shift SE sees a short daily report,showDayReport modal shows sold qty/value and per-SKU summary,Verified,PASS,Added daily report on close
SE-01,SE Cabinet,SE,SE navigation has 4 tabs,Моя смена / Новое поступление / История смен / Логи,Verified,PASS,Redesigned SE cabinet
SE-02,SE Cabinet,SE,Моя смена shows SKU grouped by category with утро/продано/вечер,seTableRows grouped by admin category; вечер auto-calculated,Verified,PASS,
SE-03,SE Cabinet,SE,SE enters total продано per SKU and evening updates live,POST /shifts/:id/set-sales stores delta as sale; realtime refresh,Verified,PASS,
SE-04,SE Cabinet,SE,Моя смена header shows point/open time/who opened,shift-head analysis block,Verified,PASS,Close time+who shown in history
SE-05,SE Cabinet,SE,Новое поступление adds income shown green +N on утренний остаток,POST /shifts/:id/income-batch; inc-plus rendering,Verified,PASS,
SE-06,SE Cabinet,SE,Закрытие смены -> краткий отчёт дня; потом только админ редактирует,showDayReport; closed shift read-only,Verified,PASS,
SE-07,SE Cabinet,SE,История смен shows closed shifts (view only) for the point,GET /shifts?point_id&status=closed; read-only detail,Verified,PASS,
SE-08,SE Cabinet,SE,Логи show friendly point activity (no technical data),GET /point-logs/:pointId,Verified,PASS,
SE-09,SE Cabinet,SE,Warm matte IQOS style with smooth animations,fade-in animations; warm matte palette,Verified,PASS,
SE-10,SE Cabinet,SE,SE table no longer flags low stock with red,seTableRows has no row-low/danger styling,Verified,PASS,Replaced by forecast tab
SE-11,SE Cabinet,SE,Запасы в точке forecasts needed stock from avg daily sales,GET /point-stock-forecast: avg=sold/days; recommended=ceil(avg*horizon); reorder=max(0,rec-current),Verified,PASS,Configurable analysis/horizon days
SE-12,SE Cabinet,SE,Per-SKU safety stock and lead time override defaults,PUT /skus/:id/logistics; forecast uses per-SKU else global,Verified,PASS,Editable inline in Запасы
SE-13,SE Cabinet,SE,Writeoff/порча column in Моя смена,POST /shifts/:id/set-writeoff; evening recalculated,Verified,PASS,
SE-14,SE Cabinet,SE,Export order request and shift report to Excel/CSV,GET point-stock-forecast/:id/export.csv and shifts/:id/export.csv,Verified,PASS,
SE-15,SE Cabinet,SE,Search by SKU and collapsible categories in SE tables,bindTableTools: search + collapse,Verified,PASS,
SE-16,SE Cabinet,SE,Click a SKU to view its movement history,openSkuMovements modal via /movements,Verified,PASS,
SE-17,SE Cabinet,SE,Evening stock recalculates instantly on продано input,client-side rowEvening on input event; no server wait,Verified,PASS,
SE-18,SE Cabinet,SE,Списание removed from Моя смена main table,seTableRows has 4 columns,Verified,PASS,
SE-19,SE Cabinet,SE,Списание/возврат tab sends approval request to BRE,POST /requests pending; notify point BRE+admins,Verified,PASS,
REQ-01,Requests,BRE/ADMIN,BRE approves/rejects stock requests for own points,POST /requests/:id/approve|reject; applies adjust to open shift,Verified,PASS,
REQ-02,Requests,SE,Approved writeoff/return shows yellow +/- chip near SKU,shift_stock.adjust; adj-chip on Моя смена,Verified,PASS,
SE-20,SE Cabinet,SE,Notes tab — shared notes per point with status/importance/pin,GET/POST/PUT/DELETE /notes; realtime notes:changed,Verified,PASS,Статусы открыто/в ожидании/закрыто; важность; закрепление 📎
UX-07,UX,All,Laptop keyboard nav — Enter moves to next field in tables/modals,wireEnterNav on продано/приход/opening/inventory/logistics/filters,Verified,PASS,
UX-08,UX,SE,Продано shows 0 as a placeholder hint (empty value),placeholder=0 ghost; stepper keeps empty at 0,Verified,PASS,
UX-09,UX,SE,Notes: Enter sends, Shift+Enter newline,composer keydown,Verified,PASS,
UX-10,UX,All,Modals submit primary action on Enter,modal Enter handler clicks primary button,Verified,PASS,
